year,state,area_km_total,n_poligonos
2008,PA,5607.669047205749,27859
2008,MT,3396.324987149394,11998
2008,MA,1396.2558670190313,10816
2008,RO,1073.8391297484561,6398
2008,RR,665.1371477661271,3075
2008,AM,612.131247243122,3895
2008,AC,288.7276446851252,2702
2008,TO,104.26049062485623,637
2008,AP,99.91568042932268,747
2009,PA,3542.290786684938,19920
2009,MT,812.697492013225,4274
2009,MA,784.4809157091194,6101
2009,RO,416.88045778835976,3029
2009,AM,341.67813092999546,2677
2009,AC,161.62320420595893,1725
2009,RR,111.24286785375534,878
2009,TO,57.5748552744709,387
2009,AP,47.45675444796758,429
2010,PA,3297.6419737262604,22411
2010,MT,771.8854556801147,3621
2010,MA,601.936290071932,4683
2010,AM,545.3531476181496,4249
2010,RO,430.07007458686047,2652
2010,AC,265.3666269678497,2671
2010,RR,234.77568820223522,1827
2010,AP,72.23834869955478,552
2010,TO,52.70509753175555,383
2011,PA,2508.1379015845896,17255
2011,MT,1057.3014215091769,4819
2011,RO,761.675329487607,4285
2011,AM,507.9013391755025,3843
2011,MA,375.42722315020666,3783
2011,AC,295.7857756232116,3053
2011,RR,129.62161978672836,1005
2011,TO,33.53250674979608,233
2011,AP,16.615481319036174,186
2012,PA,1697.473353791371,10337
2012,MT,788.6090765108291,3439
2012,RO,690.1200532029584,3392
2012,AM,470.9191433961138,2671
2012,MA,335.1181158105176,2702
2012,AC,270.53469412672797,2573
2012,RR,107.39724761171152,755
2012,TO,47.624592583460746,248
2012,AP,19.449449488321992,194
2013,PA,2099.8650706087265,12869
2013,MT,1103.2969507468215,5281
2013,RO,961.8678507515845,5045
2013,AM,480.97361255351154,3217
2013,MA,297.3099388138228,2171
2013,AC,200.24007028518687,2265
2013,RR,148.41410496957437,1154
2013,TO,77.01941692648647,264
2013,AP,24.236671939328485,248
2014,PA,1794.4826892352048,11734
2014,MT,1096.2450896729183,4731
2014,RO,760.6451741361591,3980
2014,AM,552.8243099593092,3524
2014,AC,348.58673918260274,3760
2014,MA,288.2665596821413,2139
2014,RR,189.05890046541646,1349
2014,TO,45.06402780050761,279
2014,AP,29.105426206444204,316
2015,PA,2302.779964834739,34709
2015,MT,1495.007925020512,4768
2015,RO,959.3478325199583,4626
2015,AM,687.3557437811434,4506
2015,AC,223.00363281215064,2100
2015,MA,217.40470931035324,3207
2015,RR,154.29309156948872,2362
2015,TO,55.3011199832764,214
2015,AP,19.10910698414709,566
2016,PA,2757.109931100484,24962
2016,MT,1396.7589562456883,6711
2016,RO,1193.9164320586715,7991
2016,AM,1003.7060712120218,4732
2016,AC,366.3125656780832,4655
2016,MA,246.88338679325983,2225
2016,RR,228.40130254522904,2709
2016,TO,53.461801205269424,268
2016,AP,12.41393149109772,249
2017,PA,2572.581089555269,20931
2017,MT,1454.9297534939344,4448
2017,RO,1276.7916484275547,5332
2017,AM,1009.8775265954326,4196
2017,MA,272.984633671299,2526
2017,AC,245.7315762614715,2224
2017,RR,121.9519731828308,791
2017,TO,28.156130809753925,155
2017,AP,17.268234531755017,523
2018,PA,2608.3831540938013,16086
2018,MT,1440.359518791716,4215
2018,RO,1205.4525335560215,5476
2018,AM,1051.2430489881008,4296
2018,AC,426.58845951635675,4558
2018,MA,184.0249028057349,1540
2018,RR,126.64802452273958,1372
2018,AP,24.566631854497572,746
2018,TO,22.78466764932009,164
2019,PA,4463.532130566772,28523
2019,MT,1879.077230036799,4687
2019,AM,1556.8912696015173,5361
2019,RO,1400.369302079878,4965
2019,AC,706.937946107275,5842
2019,RR,542.6734568529785,6772
2019,MA,272.57451223311614,3206
2019,AP,39.061310159231425,978
2019,TO,28.140260944779186,152
2020,PA,4615.453031514381,20402
2020,MT,1817.5275636689557,4577
2020,AM,1420.4087817200748,5485
2020,RO,1305.9971554445242,4882
2020,AC,660.8126371048595,5511
2020,RR,321.259848084216,2470
2020,MA,315.6977583249846,2578
2020,TO,25.13896131185284,141
2020,AP,10.344818972972172,191
2021,PA,5079.2685068347,19932
2021,AM,2167.098490518894,6692
2021,MT,1969.356917442531,4746
2021,RO,1645.9504960563243,5552
2021,AC,892.4274505790089,6934
2021,MA,317.331188057173,1809
2021,RR,283.6908823161442,1984
2021,TO,32.147451908582376,168
2021,AP,16.08937430301053,266
2022,PA,4527.557761432891,27092
2022,AM,3047.683107907583,9672
2022,MT,2018.1421369555155,5921
2022,RO,1447.2683745624531,6512
2022,AC,1005.8630282140575,10643
2022,MA,299.74458749959405,1964
2022,RR,293.18294309144,3346
2022,TO,30.95616649324491,228
2022,AP,14.071603892483703,351
2023,PA,2881.0954418802276,24463
2023,MT,1939.447924138713,4997
2023,AM,1309.5527495366491,6800
2023,RO,792.7242873869739,5055
2023,AC,462.9501346007409,5877
2023,MA,308.1652806310528,2137
2023,RR,276.00910591086233,2437
2023,TO,30.427944112574078,183
2023,AP,15.743989594110591,419
2024,PA,2262.3728526020286,23226
2024,MT,1300.146770828533,3987
2024,AM,1110.4001469200866,7241
2024,RR,447.78044300117216,3038
2024,AC,411.34751740688046,5699
2024,RO,377.79842023403785,2773
2024,MA,288.66220160979674,2659
2024,TO,33.69420334483714,154
2024,AP,29.420354262074877,872
2025,PA,1951.6504467134525,21258
2025,MT,1461.828029266717,4070
2025,AM,835.3197296332244,5627
2025,RR,277.9647383419078,1437
2025,AC,275.4610454620532,5096
2025,RO,216.4952979042646,1892
2025,MA,192.45230977185776,1789
2025,TO,27.608097945311762,84
2025,AP,15.966059830116322,636
