year,state,sub_class_limpo,area_km_total,n_poligonos
2008,AC,sem subtipo detalhado (legado),288.7276446851252,2702
2008,AM,sem subtipo detalhado (legado),612.131247243122,3895
2008,AP,sem subtipo detalhado (legado),99.91568042932268,747
2008,MA,nao informado,0.685195555061073,6
2008,MA,sem subtipo detalhado (legado),1395.5706714639703,10810
2008,MT,nao informado,4.14341545312287,17
2008,MT,sem subtipo detalhado (legado),3392.181571696271,11981
2008,PA,nao informado,17.53222247957071,64
2008,PA,sem subtipo detalhado (legado),5590.136824726178,27795
2008,RO,nao informado,1.501062789968298,21
2008,RO,sem subtipo detalhado (legado),1072.3380669584878,6377
2008,RR,sem subtipo detalhado (legado),665.1371477661271,3075
2008,TO,nao informado,0.057586098942598,1
2008,TO,sem subtipo detalhado (legado),104.20290452591364,636
2009,AC,sem subtipo detalhado (legado),161.62320420595893,1725
2009,AM,sem subtipo detalhado (legado),341.67813092999546,2677
2009,AP,sem subtipo detalhado (legado),47.45675444796758,429
2009,MA,nao informado,0.39561198523457397,5
2009,MA,sem subtipo detalhado (legado),784.0853037238849,6096
2009,MT,nao informado,0.578053682025898,5
2009,MT,sem subtipo detalhado (legado),812.119438331199,4269
2009,PA,nao informado,1.734406769925039,16
2009,PA,sem subtipo detalhado (legado),3540.556379915013,19904
2009,RO,nao informado,0.060443748969375,1
2009,RO,sem subtipo detalhado (legado),416.8200140393904,3028
2009,RR,sem subtipo detalhado (legado),111.24286785375534,878
2009,TO,sem subtipo detalhado (legado),57.5748552744709,387
2010,AC,sem subtipo detalhado (legado),265.3666269678497,2671
2010,AM,sem subtipo detalhado (legado),545.3531476181496,4249
2010,AP,sem subtipo detalhado (legado),72.23834869955478,552
2010,MA,nao informado,0.006854864472863,1
2010,MA,sem subtipo detalhado (legado),601.9294352074592,4682
2010,MT,nao informado,3.093420336350919,11
2010,MT,sem subtipo detalhado (legado),768.7920353437638,3610
2010,PA,nao informado,1.36765943871055,16
2010,PA,sem subtipo detalhado (legado),3296.2743142875497,22395
2010,RO,nao informado,3.0516606583251966,3
2010,RO,sem subtipo detalhado (legado),427.01841392853527,2649
2010,RR,sem subtipo detalhado (legado),234.77568820223522,1827
2010,TO,sem subtipo detalhado (legado),52.70509753175555,383
2011,AC,sem subtipo detalhado (legado),295.7857756232116,3053
2011,AM,sem subtipo detalhado (legado),507.9013391755025,3843
2011,AP,sem subtipo detalhado (legado),16.615481319036174,186
2011,MA,nao informado,0.09820879709831201,2
2011,MA,sem subtipo detalhado (legado),375.32901435310833,3781
2011,MT,sem subtipo detalhado (legado),1057.3014215091769,4819
2011,PA,nao informado,2.11747986867464,14
2011,PA,sem subtipo detalhado (legado),2506.020421715915,17241
2011,RO,nao informado,0.19048607348227697,3
2011,RO,sem subtipo detalhado (legado),761.4848434141247,4282
2011,RR,sem subtipo detalhado (legado),129.62161978672836,1005
2011,TO,sem subtipo detalhado (legado),33.53250674979608,233
2012,AC,sem subtipo detalhado (legado),270.53469412672797,2573
2012,AM,sem subtipo detalhado (legado),470.9191433961138,2671
2012,AP,sem subtipo detalhado (legado),19.449449488321992,194
2012,MA,nao informado,0.779609237867509,4
2012,MA,sem subtipo detalhado (legado),334.3385065726501,2698
2012,MT,nao informado,8.83591406609457,4
2012,MT,sem subtipo detalhado (legado),779.7731624447346,3435
2012,PA,nao informado,0.491135184498365,3
2012,PA,sem subtipo detalhado (legado),1696.9822186068725,10334
2012,RO,nao informado,0.29161813399230696,5
2012,RO,sem subtipo detalhado (legado),689.8284350689661,3387
2012,RR,sem subtipo detalhado (legado),107.39724761171152,755
2012,TO,sem subtipo detalhado (legado),47.624592583460746,248
2013,AC,sem subtipo detalhado (legado),200.24007028518687,2265
2013,AM,sem subtipo detalhado (legado),480.97361255351154,3217
2013,AP,sem subtipo detalhado (legado),24.236671939328485,248
2013,MA,nao informado,0.096664670642542,3
2013,MA,sem subtipo detalhado (legado),297.21327414318023,2168
2013,MT,nao informado,0.696714502724732,8
2013,MT,sem subtipo detalhado (legado),1102.6002362440968,5273
2013,PA,nao informado,1.45867603679671,9
2013,PA,sem subtipo detalhado (legado),2098.40639457193,12860
2013,RO,nao informado,0.20755578130236402,4
2013,RO,sem subtipo detalhado (legado),961.6602949702822,5041
2013,RR,sem subtipo detalhado (legado),148.41410496957437,1154
2013,TO,sem subtipo detalhado (legado),77.01941692648647,264
2014,AC,sem subtipo detalhado (legado),348.58673918260274,3760
2014,AM,sem subtipo detalhado (legado),552.8243099593092,3524
2014,AP,sem subtipo detalhado (legado),29.105426206444204,316
2014,MA,nao informado,3.159165682626608,15
2014,MA,sem subtipo detalhado (legado),285.10739399951467,2124
2014,MT,nao informado,8.754556075643421,9
2014,MT,sem subtipo detalhado (legado),1087.4905335972749,4722
2014,PA,nao informado,0.448206460299212,6
2014,PA,sem subtipo detalhado (legado),1794.0344827749057,11728
2014,RO,nao informado,0.450081329215426,2
2014,RO,sem subtipo detalhado (legado),760.1950928069436,3978
2014,RR,sem subtipo detalhado (legado),189.05890046541646,1349
2014,TO,sem subtipo detalhado (legado),45.06402780050761,279
2015,AC,sem subtipo detalhado (legado),223.00363281215064,2100
2015,AM,sem subtipo detalhado (legado),687.3557437811434,4506
2015,AP,sem subtipo detalhado (legado),19.10910698414709,566
2015,MA,sem subtipo detalhado (legado),217.40470931035324,3207
2015,MT,nao informado,9.10038312951784,12
2015,MT,sem subtipo detalhado (legado),1485.9075418909943,4756
2015,PA,nao informado,7.878699705766204,16
2015,PA,sem subtipo detalhado (legado),2294.9012651289727,34693
2015,RO,nao informado,0.150855117782832,2
2015,RO,sem subtipo detalhado (legado),959.1969774021754,4624
2015,RR,sem subtipo detalhado (legado),154.29309156948872,2362
2015,TO,sem subtipo detalhado (legado),55.3011199832764,214
2016,AC,sem subtipo detalhado (legado),366.3125656780832,4655
2016,AM,sem subtipo detalhado (legado),1003.7060712120218,4732
2016,AP,sem subtipo detalhado (legado),12.41393149109772,249
2016,MA,sem subtipo detalhado (legado),246.88338679325983,2225
2016,MT,nao informado,0.281261003224739,1
2016,MT,sem subtipo detalhado (legado),1396.4776952424636,6710
2016,PA,nao informado,1.328874360799246,12
2016,PA,sem subtipo detalhado (legado),2755.7810567396846,24950
2016,RO,nao informado,0.859571287533933,8
2016,RO,sem subtipo detalhado (legado),1193.0568607711377,7983
2016,RR,sem subtipo detalhado (legado),228.40130254522904,2709
2016,TO,sem subtipo detalhado (legado),53.461801205269424,268
2017,AC,sem subtipo detalhado (legado),245.7315762614715,2224
2017,AM,sem subtipo detalhado (legado),1009.8775265954326,4196
2017,AP,sem subtipo detalhado (legado),17.268234531755017,523
2017,MA,sem subtipo detalhado (legado),272.984633671299,2526
2017,MT,nao informado,1.542298814881901,7
2017,MT,sem subtipo detalhado (legado),1453.3874546790526,4441
2017,PA,nao informado,0.624602189943508,8
2017,PA,sem subtipo detalhado (legado),2571.9564873653253,20923
2017,RO,nao informado,0.370689166121091,5
2017,RO,sem subtipo detalhado (legado),1276.4209592614336,5327
2017,RR,nao informado,0.07039661247612,1
2017,RR,sem subtipo detalhado (legado),121.88157657035468,790
2017,TO,sem subtipo detalhado (legado),28.156130809753925,155
2018,AC,sem subtipo detalhado (legado),426.58845951635675,4558
2018,AM,sem subtipo detalhado (legado),1051.2430489881008,4296
2018,AP,sem subtipo detalhado (legado),24.566631854497572,746
2018,MA,nao informado,0.772405712066902,10
2018,MA,sem subtipo detalhado (legado),183.252497093668,1530
2018,MT,nao informado,0.7569051666125389,8
2018,MT,sem subtipo detalhado (legado),1439.6026136251035,4207
2018,PA,nao informado,0.935821333547582,9
2018,PA,sem subtipo detalhado (legado),2607.4473327602536,16077
2018,RO,nao informado,0.5016672057407849,5
2018,RO,sem subtipo detalhado (legado),1204.9508663502809,5471
2018,RR,sem subtipo detalhado (legado),126.64802452273958,1372
2018,TO,sem subtipo detalhado (legado),22.78466764932009,164
2019,AC,sem subtipo detalhado (legado),706.937946107275,5842
2019,AM,sem subtipo detalhado (legado),1556.8912696015173,5361
2019,AP,sem subtipo detalhado (legado),39.061310159231425,978
2019,MA,sem subtipo detalhado (legado),272.57451223311614,3206
2019,MT,nao informado,2.318292863630624,4
2019,MT,sem subtipo detalhado (legado),1876.7589371731683,4683
2019,PA,nao informado,0.950549368112099,7
2019,PA,sem subtipo detalhado (legado),4462.5815811986595,28516
2019,RO,nao informado,1.3035256962980082,5
2019,RO,sem subtipo detalhado (legado),1399.0657763835802,4960
2019,RR,sem subtipo detalhado (legado),542.6734568529785,6772
2019,TO,sem subtipo detalhado (legado),28.140260944779186,152
2020,AC,sem subtipo detalhado (legado),660.8126371048595,5511
2020,AM,sem subtipo detalhado (legado),1420.4087817200748,5485
2020,AP,sem subtipo detalhado (legado),10.344818972972172,191
2020,MA,sem subtipo detalhado (legado),315.6977583249846,2578
2020,MT,nao informado,0.18151095546825702,2
2020,MT,sem subtipo detalhado (legado),1817.3460527134873,4575
2020,PA,nao informado,0.795418650900227,7
2020,PA,sem subtipo detalhado (legado),4614.657612863481,20395
2020,RO,nao informado,1.1896878272054021,5
2020,RO,sem subtipo detalhado (legado),1304.807467617319,4877
2020,RR,sem subtipo detalhado (legado),321.259848084216,2470
2020,TO,sem subtipo detalhado (legado),25.13896131185284,141
2021,AC,sem subtipo detalhado (legado),892.4274505790089,6934
2021,AM,sem subtipo detalhado (legado),2167.098490518894,6692
2021,AP,sem subtipo detalhado (legado),16.08937430301053,266
2021,MA,sem subtipo detalhado (legado),317.331188057173,1809
2021,MT,nao informado,0.069623708584532,2
2021,MT,sem subtipo detalhado (legado),1969.2872937339464,4744
2021,PA,nao informado,0.23468804486282702,3
2021,PA,sem subtipo detalhado (legado),5079.033818789837,19929
2021,RO,sem subtipo detalhado (legado),1645.9504960563243,5552
2021,RR,sem subtipo detalhado (legado),283.6908823161442,1984
2021,TO,sem subtipo detalhado (legado),32.147451908582376,168
2022,AC,corte raso com solo exposto,813.0352124382379,7959
2022,AC,corte raso com vegetacao,167.15849885630095,2357
2022,AC,desmatamento por degradacao progressiva,25.669316919518753,327
2022,AM,corte raso com solo exposto,2524.459893257756,6961
2022,AM,corte raso com vegetacao,452.8524789678949,1889
2022,AM,desmatamento por degradacao progressiva,47.295494487138406,454
2022,AM,mineracao,23.07524119479359,368
2022,AP,corte raso com solo exposto,9.90341286541096,215
2022,AP,corte raso com vegetacao,2.172718458028408,92
2022,AP,desmatamento por degradacao progressiva,0.742529702337053,23
2022,AP,mineracao,1.252942866707281,21
2022,MA,corte raso com solo exposto,258.39786344305327,1617
2022,MA,corte raso com vegetacao,29.790676628613923,259
2022,MA,desmatamento por degradacao progressiva,11.370049283801253,83
2022,MA,mineracao,0.185998144125612,5
2022,MT,corte raso com solo exposto,1123.6728841685772,3489
2022,MT,corte raso com vegetacao,383.1419112916128,1047
2022,MT,desmatamento por degradacao progressiva,497.2836563060769,1293
2022,MT,floresta inundada,0.095982360745187,1
2022,MT,mineracao,4.242786188384339,78
2022,MT,nao informado,0.125639022503115,1
2022,MT,sem subtipo detalhado (legado),9.579277617616054,12
2022,PA,corte raso com solo exposto,2583.7431884680104,16794
2022,PA,corte raso com vegetacao,1635.5046741372662,8081
2022,PA,desmatamento por degradacao progressiva,251.44360179472483,1413
2022,PA,mineracao,53.42018651817392,796
2022,PA,nao informado,0.183111579545912,2
2022,PA,sem subtipo detalhado (legado),3.262998935169677,6
2022,RO,corte raso com solo exposto,871.3033153393305,4163
2022,RO,corte raso com vegetacao,496.15565911696046,1730
2022,RO,desmatamento por degradacao progressiva,78.82719264143999,602
2022,RO,floresta inundada,0.137372473067881,1
2022,RO,mineracao,0.398202318805479,10
2022,RO,nao informado,0.446632672848718,6
2022,RR,corte raso com solo exposto,150.99590443317055,1804
2022,RR,corte raso com vegetacao,114.76335912613669,1178
2022,RR,desmatamento por degradacao progressiva,13.785017961690434,137
2022,RR,floresta inundada,0.59088412820967,19
2022,RR,mineracao,13.04777744223266,208
2022,TO,corte raso com solo exposto,28.389365815291377,187
2022,TO,corte raso com vegetacao,1.2416374683893259,7
2022,TO,desmatamento por degradacao progressiva,1.3251632095642079,34
2023,AC,corte raso com solo exposto,275.88961858393856,3867
2023,AC,corte raso com vegetacao,136.6858784913161,1391
2023,AC,desmatamento por degradacao progressiva,50.37463752548625,619
2023,AM,corte raso com solo exposto,879.8604703390029,4582
2023,AM,corte raso com vegetacao,336.1849292438489,1383
2023,AM,desmatamento por degradacao progressiva,65.01356550635937,489
2023,AM,floresta inundada,1.145180569698061,18
2023,AM,mineracao,27.348603877740032,328
2023,AP,corte raso com solo exposto,12.610926079726038,295
2023,AP,corte raso com vegetacao,0.818618879353641,30
2023,AP,desmatamento por degradacao progressiva,0.528528088370681,13
2023,AP,mineracao,1.785916546660231,81
2023,MA,corte raso com solo exposto,267.4393326017097,1763
2023,MA,corte raso com vegetacao,33.18356525158771,297
2023,MA,desmatamento por degradacao progressiva,5.486726700657911,53
2023,MA,floresta inundada,0.044236102920218,1
2023,MA,mineracao,2.011419974177274,23
2023,MT,corte raso com solo exposto,690.9165241365265,2718
2023,MT,corte raso com vegetacao,317.2448526108358,604
2023,MT,desmatamento por degradacao progressiva,925.39216198436,1598
2023,MT,mineracao,5.789069558502671,76
2023,MT,nao informado,0.105315848488063,1
2023,PA,corte raso com solo exposto,1306.118710683872,14022
2023,PA,corte raso com vegetacao,1090.00041994467,7258
2023,PA,desmatamento por degradacao progressiva,434.7680505663994,2462
2023,PA,floresta inundada,0.096628537853696,2
2023,PA,mineracao,48.118553298208745,710
2023,PA,nao informado,0.152798717178591,3
2023,PA,sem subtipo detalhado (legado),1.8402801320451958,6
2023,RO,corte raso com solo exposto,416.6923101477084,2932
2023,RO,corte raso com vegetacao,267.63748736988396,1270
2023,RO,desmatamento por degradacao progressiva,107.48402693877861,840
2023,RO,floresta inundada,0.032145293813898,1
2023,RO,mineracao,0.340516261489096,10
2023,RO,sem subtipo detalhado (legado),0.537801375299902,2
2023,RR,corte raso com solo exposto,178.70240793219645,1615
2023,RR,corte raso com vegetacao,79.36893479037462,651
2023,RR,desmatamento por degradacao progressiva,17.333611702654412,145
2023,RR,mineracao,0.604151485636877,26
2023,TO,corte raso com solo exposto,27.62619073405594,137
2023,TO,corte raso com vegetacao,1.070970985333921,14
2023,TO,desmatamento por degradacao progressiva,1.730782393184217,32
2024,AC,corte raso com solo exposto,321.1403310580527,4052
2024,AC,corte raso com vegetacao,56.80606810154615,1050
2024,AC,desmatamento por degradacao progressiva,33.4011182472816,597
2024,AM,corte raso com solo exposto,828.7554123482108,4891
2024,AM,corte raso com vegetacao,49.74077232072704,696
2024,AM,desmatamento por degradacao progressiva,222.400845821272,1494
2024,AM,mineracao,9.503116429876705,160
2024,AP,corte raso com solo exposto,12.423413237601041,303
2024,AP,corte raso com vegetacao,4.408170293199753,248
2024,AP,desmatamento por degradacao progressiva,9.07668081544269,135
2024,AP,mineracao,3.512089915831394,186
2024,MA,corte raso com solo exposto,234.20616329605517,1858
2024,MA,corte raso com vegetacao,30.528527047915436,511
2024,MA,desmatamento por degradacao progressiva,23.86410701513416,288
2024,MA,mineracao,0.063404250692002,2
2024,MT,corte raso com solo exposto,454.68323396705426,2078
2024,MT,corte raso com vegetacao,103.38772770006452,274
2024,MT,desmatamento por degradacao progressiva,723.6446133049486,1517
2024,MT,floresta inundada,0.20203120822222098,2
2024,MT,mineracao,18.005614802369568,115
2024,MT,reservatorio,0.223549845873765,1
2024,PA,corte raso com solo exposto,1334.0730307330855,14358
2024,PA,corte raso com vegetacao,391.0513854977919,4370
2024,PA,desmatamento por degradacao progressiva,506.45245040761796,3938
2024,PA,floresta inundada,0.44913148843976003,4
2024,PA,mineracao,28.106706376946914,540
2024,PA,nao informado,2.08191679512461,15
2024,PA,sem subtipo detalhado (legado),0.158231303021981,1
2024,RO,corte raso com solo exposto,215.78159048062037,1738
2024,RO,corte raso com vegetacao,57.83601888803546,401
2024,RO,desmatamento por degradacao progressiva,103.59778111605591,627
2024,RO,mineracao,0.46660661653416896,6
2024,RO,sem subtipo detalhado (legado),0.116423132791961,1
2024,RR,corte raso com solo exposto,213.6255868117828,1782
2024,RR,corte raso com vegetacao,72.91588321083302,423
2024,RR,desmatamento por degradacao progressiva,161.21179869806983,831
2024,RR,mineracao,0.027174280486509,2
2024,TO,corte raso com solo exposto,30.476659064616978,112
2024,TO,corte raso com vegetacao,0.784544260137074,4
2024,TO,desmatamento por degradacao progressiva,2.433000020083088,38
2025,AC,corte raso com solo exposto,130.7501664442835,2360
2025,AC,corte raso com vegetacao,113.3455125991961,2081
2025,AC,desmatamento por degradacao progressiva,31.36536641857364,655
2025,AM,corte raso com solo exposto,539.8909191636693,2723
2025,AM,corte raso com vegetacao,127.02671107416049,1106
2025,AM,desmatamento por degradacao progressiva,164.25111009103787,1732
2025,AM,floresta inundada,0.17048442661184499,3
2025,AM,mineracao,3.980504877744876,63
2025,AP,corte raso com solo exposto,5.393461882203622,221
2025,AP,corte raso com vegetacao,0.820841058777076,54
2025,AP,desmatamento por degradacao progressiva,4.164563238178137,40
2025,AP,mineracao,5.587193650957487,321
2025,MA,corte raso com solo exposto,118.2061983002589,943
2025,MA,corte raso com vegetacao,31.418807195953963,562
2025,MA,desmatamento por degradacao progressiva,42.67644895905782,282
2025,MA,mineracao,0.150855316587064,2
2025,MT,corte raso com solo exposto,509.26782182314804,1609
2025,MT,corte raso com vegetacao,112.09544928263038,421
2025,MT,desmatamento por degradacao progressiva,830.2824787647961,1905
2025,MT,floresta inundada,0.02601966194352,1
2025,MT,mineracao,10.156259734199043,134
2025,PA,corte raso com solo exposto,607.5285576594223,8484
2025,PA,corte raso com vegetacao,556.5509591150006,6084
2025,PA,desmatamento por degradacao progressiva,768.8520740671853,6302
2025,PA,floresta inundada,0.74270013496438,9
2025,PA,mineracao,17.946407989701978,378
2025,PA,nao informado,0.029747747177994,1
2025,RO,corte raso com solo exposto,86.93293304358346,768
2025,RO,corte raso com vegetacao,66.15623196934412,587
2025,RO,desmatamento por degradacao progressiva,62.67576855289481,518
2025,RO,mineracao,0.7303643384421971,19
2025,RR,corte raso com solo exposto,99.47271841023641,666
2025,RR,corte raso com vegetacao,100.55549981905715,279
2025,RR,desmatamento por degradacao progressiva,77.89549722105956,491
2025,RR,floresta inundada,0.041022891554639,1
2025,TO,corte raso com solo exposto,26.206058345176668,59
2025,TO,corte raso com vegetacao,0.858404234548638,16
2025,TO,desmatamento por degradacao progressiva,0.543635365586456,9
